round,value,pos,encoding,final_encoding,is_recode,update_start,update_end,updated_rows
175,apple,168,459,459,0,,,0
176,apple,69,185,185,0,,,0
177,apple,165,0,470,1,248,512,82
178,apple,75,197,197,0,,,0
179,apple,116,319,319,0,,,0
180,apple,179,508,508,0,,,0
181,apple,82,0,164,1,0,248,92
182,apple,127,346,346,0,,,0
183,apple,121,328,328,0,,,0
184,apple,29,57,57,0,,,0
185,apple,6,11,11,0,,,0
186,apple,79,153,153,0,,,0
187,apple,98,253,253,0,,,0
188,apple,87,167,167,0,,,0
189,apple,107,274,274,0,,,0
190,apple,48,91,91,0,,,0
191,apple,66,125,125,0,,,0
192,apple,27,51,51,0,,,0
193,apple,64,119,119,0,,,0
194,apple,186,487,487,0,,,0
195,apple,130,325,325,0,,,0
196,apple,53,97,97,0,,,0
197,apple,155,388,388,0,,,0
198,apple,110,268,268,0,,,0
199,apple,5,9,9,0,,,0
200,apple,57,101,101,0,,,0
201,apple,4,7,7,0,,,0
202,apple,101,177,177,0,,,0
203,apple,37,63,63,0,,,0
204,apple,9,0,18,1,0,248,104
205,apple,184,451,451,0,,,0
206,apple,41,81,81,0,,,0
207,apple,114,259,259,0,,,0
208,apple,180,433,433,0,,,0
209,apple,129,295,295,0,,,0
210,apple,173,409,409,0,,,0
211,apple,109,231,231,0,,,0
212,apple,139,318,318,0,,,0
213,apple,56,109,109,0,,,0
214,apple,161,367,367,0,,,0
215,apple,204,481,481,0,,,0
216,apple,177,408,408,0,,,0
217,apple,132,0,290,1,248,512,103
218,apple,115,255,255,0,,,0
219,apple,57,0,114,1,0,248,71
220,apple,134,289,289,0,,,0
221,apple,166,351,351,0,,,0
222,apple,7,13,13,0,,,0
223,apple,101,199,199,0,,,0
224,apple,172,357,357,0,,,0
225,apple,147,309,309,0,,,0
226,apple,205,419,419,0,,,0
227,apple,82,161,161,0,,,0
228,apple,168,347,347,0,,,0
229,apple,161,333,333,0,,,0
230,apple,109,211,211,0,,,0
231,apple,15,27,27,0,,,0
232,apple,188,375,375,0,,,0
233,apple,76,147,147,0,,,0
234,apple,32,59,59,0,,,0
235,apple,54,101,101,0,,,0
236,apple,224,437,437,0,,,0
237,apple,12,21,21,0,,,0
238,apple,78,145,145,0,,,0
239,apple,18,29,29,0,,,0
240,apple,219,421,421,0,,,0
241,apple,19,0,38,1,0,248,117
242,apple,79,157,157,0,,,0
243,apple,234,443,443,0,,,0
244,apple,240,453,453,0,,,0
245,apple,76,151,151,0,,,0
246,apple,190,361,361,0,,,0
247,apple,40,79,79,0,,,0
248,apple,106,205,205,0,,,0
249,apple,144,277,277,0,,,0
250,apple,64,125,125,0,,,0
251,apple,33,65,65,0,,,0
252,apple,2,3,3,0,,,0
253,apple,143,269,269,0,,,0
254,apple,224,411,411,0,,,0
255,apple,217,397,397,0,,,0
256,apple,19,35,35,0,,,0
257,apple,111,0,169,1,126,248,64
258,apple,235,0,452,1,248,512,121
259,apple,87,0,145,1,126,248,47
260,apple,19,0,19,1,0,126,68
261,apple,193,363,363,0,,,0
262,apple,102,0,159,1,126,248,34
263,apple,177,329,329,0,,,0
264,apple,50,0,50,1,0,126,20
265,apple,105,0,161,1,126,248,33
266,apple,221,409,409,0,,,0
267,apple,99,0,155,1,126,248,40
268,apple,252,467,467,0,,,0
269,apple,53,0,53,1,0,126,18
270,apple,199,0,307,1,248,372,64
271,apple,151,0,259,1,248,372,55
272,apple,258,471,471,0,,,0
273,apple,255,0,470,1,372,512,48
274,apple,8,0,8,1,0,126,64
275,apple,166,0,273,1,248,372,42
276,apple,205,0,312,1,248,372,4
277,apple,144,0,251,1,248,372,66
278,apple,9,0,9,1,0,126,64
279,apple,80,0,133,1,126,248,63
280,apple,102,0,155,1,126,248,42
281,apple,167,0,271,1,248,372,47
282,apple,69,0,69,1,0,126,5
283,apple,173,0,276,1,248,372,43
284,apple,219,377,377,0,,,0
285,apple,109,0,161,1,126,248,37
286,apple,136,0,188,1,126,248,11
287,apple,49,0,49,1,0,126,26
288,apple,194,0,294,1,248,372,26
289,apple,280,489,489,0,,,0
290,apple,176,0,276,1,248,372,45
291,apple,273,473,473,0,,,0
292,apple,248,423,423,0,,,0
293,apple,272,469,469,0,,,0
294,apple,120,0,171,1,126,248,29
295,apple,33,0,33,1,0,126,43
296,apple,20,0,20,1,0,126,57
297,apple,43,0,43,1,0,126,35
298,apple,68,0,68,1,0,126,11
299,apple,86,0,133,1,126,248,68
300,apple,85,0,132,1,126,248,70
301,apple,275,461,461,0,,,0
302,apple,109,0,156,1,126,248,47
303,apple,137,0,184,1,126,248,20
304,apple,170,0,261,1,248,372,61
305,apple,259,0,400,1,372,512,73
306,apple,130,0,177,1,126,248,28
307,apple,188,0,278,1,248,372,45
308,apple,173,0,263,1,248,372,61
309,apple,174,0,264,1,248,372,61
310,apple,58,0,58,1,0,126,22
311,apple,149,0,195,1,126,248,11
312,apple,120,0,166,1,126,248,41
313,apple,309,0,443,1,372,512,4
314,apple,250,0,384,1,372,512,64
315,apple,69,0,69,1,0,126,12
316,apple,296,0,429,1,372,512,20
317,apple,282,0,415,1,372,512,35
318,apple,53,0,53,1,0,126,29
319,apple,164,0,249,1,248,372,77
320,apple,20,0,20,1,0,126,63
321,apple,208,0,292,1,248,372,35
322,apple,37,0,37,1,0,126,47
323,apple,194,0,277,1,248,372,51
324,apple,75,0,75,1,0,126,10
325,apple,64,0,64,1,0,126,22
326,apple,174,0,255,1,248,372,74
327,apple,58,0,58,1,0,126,29
328,apple,314,0,437,1,372,512,14
329,apple,300,0,423,1,372,512,29
330,apple,193,0,273,1,248,372,57
331,apple,39,0,39,1,0,126,49
332,apple,292,0,413,1,372,512,40
333,apple,281,0,402,1,372,512,52
334,apple,114,0,152,1,126,248,56
335,apple,289,0,409,1,372,512,46
336,apple,41,0,41,1,0,126,48
337,apple,136,0,173,1,126,248,36
338,apple,186,0,262,1,248,372,69
339,apple,151,0,188,1,126,248,22
340,apple,288,0,404,1,372,512,52
341,apple,273,0,389,1,372,512,68
342,apple,58,0,58,1,0,126,32
343,apple,234,0,308,1,248,372,24
344,apple,141,0,177,1,126,248,34
345,apple,55,0,55,1,0,126,36
346,apple,23,0,23,1,0,126,69
347,apple,151,0,185,1,126,248,27
348,apple,6,0,6,1,0,126,87
349,apple,314,0,423,1,372,512,35
350,apple,343,0,452,1,372,512,7
351,apple,7,0,7,1,0,126,87
352,apple,46,0,46,1,0,126,49
353,apple,211,0,278,1,248,372,55
354,apple,58,0,58,1,0,126,38
355,apple,20,0,20,1,0,126,77
356,apple,96,0,96,1,0,126,2
357,apple,122,0,150,1,126,248,63
358,apple,300,0,402,1,372,512,58
359,apple,215,0,278,1,248,372,56
360,apple,82,0,82,1,0,126,17
361,apple,59,0,59,1,0,126,41
362,apple,230,0,291,1,248,372,44
363,apple,85,0,85,1,0,126,16
364,apple,348,0,445,1,372,512,16
365,apple,123,0,148,1,126,248,66
366,apple,81,0,81,1,0,126,21
367,apple,52,0,52,1,0,126,51
368,apple,222,0,279,1,248,372,57
369,apple,193,0,250,1,248,372,87
370,apple,277,0,334,1,248,372,4
371,apple,150,0,173,1,126,248,42
372,apple,281,0,337,1,248,372,2
373,apple,129,0,152,1,126,248,64
374,apple,364,0,452,1,372,512,10
375,apple,244,0,299,1,248,372,41
376,apple,161,0,184,1,126,248,33
377,apple,51,0,51,1,0,126,53
378,apple,106,0,128,1,126,248,90
379,apple,333,0,417,1,372,512,46
380,apple,162,0,184,1,126,248,35
381,apple,20,0,20,1,0,126,85
382,apple,13,0,13,1,0,126,93
383,apple,5,0,5,1,0,126,102
384,apple,151,0,170,1,126,248,50
385,apple,371,0,450,1,372,512,14
386,apple,305,0,384,1,372,512,81
387,apple,163,0,182,1,126,248,39
388,apple,230,0,276,1,248,372,65
389,apple,200,0,219,1,126,248,3
390,apple,160,0,179,1,126,248,44
391,apple,204,235,235,0,,,0
392,apple,32,0,32,1,0,126,76
393,apple,32,0,32,1,0,126,77
394,apple,162,0,179,1,126,248,46
395,apple,307,0,378,1,372,512,88
396,apple,233,0,273,1,248,372,69
397,apple,57,0,57,1,0,126,53
398,apple,128,0,144,1,126,248,82
399,apple,110,118,118,0,,,0
400,apple,316,0,383,1,372,512,84
401,apple,398,0,465,1,372,512,3
402,apple,277,0,314,1,248,372,29
403,apple,352,0,418,1,372,512,51
404,apple,240,0,277,1,248,372,67
405,apple,338,0,403,1,372,512,67
406,apple,182,0,197,1,126,248,30
407,apple,132,0,147,1,126,248,81
408,apple,93,0,93,1,0,126,19
409,apple,277,0,311,1,248,372,34
410,apple,106,0,106,1,0,126,7
411,apple,157,0,170,1,126,248,59
412,apple,101,0,101,1,0,126,13
413,apple,126,0,138,1,126,248,92
414,apple,184,0,196,1,126,248,35
415,apple,41,0,41,1,0,126,74
416,apple,143,0,154,1,126,248,78
417,apple,45,0,45,1,0,126,71
418,apple,385,0,438,1,372,512,33
419,apple,229,0,255,1,248,372,91
420,apple,46,0,46,1,0,126,71
421,apple,333,0,384,1,372,512,88
422,apple,294,0,319,1,248,372,28
423,apple,329,0,379,1,372,512,94
424,apple,173,0,182,1,126,248,51
425,apple,116,0,116,1,0,126,2
426,apple,199,0,207,1,126,248,27
427,apple,157,0,165,1,126,248,70
428,apple,21,0,21,1,0,126,98
429,apple,167,0,174,1,126,248,62
430,apple,95,0,95,1,0,126,25
431,apple,162,0,168,1,126,248,69
432,apple,405,0,447,1,372,512,27
433,apple,296,0,313,1,248,372,35
434,apple,155,0,161,1,126,248,77
435,apple,125,0,131,1,126,248,108
436,apple,171,0,177,1,126,248,63
437,apple,51,0,51,1,0,126,70
438,apple,278,0,291,1,248,372,58
439,apple,313,0,326,1,248,372,24
440,apple,296,0,309,1,248,372,42
441,apple,413,0,447,1,372,512,28
442,apple,305,0,318,1,248,372,34
443,apple,47,0,47,1,0,126,75
444,apple,125,0,129,1,126,248,112
445,apple,112,0,112,1,0,126,11
446,apple,10,0,10,1,0,126,114
447,apple,413,0,442,1,372,512,34
448,apple,124,125,125,0,,,0
449,apple,205,0,206,1,126,248,36
450,apple,37,0,37,1,0,248,88
451,apple,137,0,137,1,126,248,106
452,apple,282,0,287,1,248,372,66
453,apple,444,0,468,1,372,512,9
454,apple,36,0,36,1,0,248,208
455,apple,373,0,396,1,372,512,82
456,apple,38,0,38,1,0,248,207
457,apple,11,0,11,1,0,248,235
458,apple,325,0,327,1,248,372,27
459,apple,5,0,5,1,0,248,242
460,apple,148,0,148,1,66,372,100
461,apple,384,0,402,1,372,512,77
462,apple,405,0,423,1,372,512,57
463,apple,183,0,183,1,66,372,172
464,apple,252,0,252,1,249,372,104
465,apple,240,0,240,1,66,372,117
466,apple,441,0,456,1,372,512,25
467,apple,439,0,454,1,372,512,28
468,apple,78,0,78,1,0,372,280
469,apple,51,0,51,1,0,372,308
470,apple,256,0,256,1,252,372,104
471,apple,398,0,410,1,372,512,73
472,apple,407,0,419,1,372,512,65
473,apple,167,0,167,1,67,372,194
474,apple,39,0,39,1,0,372,323
475,apple,260,0,260,1,254,372,103
476,apple,340,0,340,1,254,372,24
477,apple,88,0,88,1,0,372,277
478,apple,91,0,91,1,0,372,275
479,apple,397,0,403,1,372,512,82
480,apple,76,0,76,1,0,372,291
481,apple,72,0,72,1,0,372,296
482,apple,420,0,424,1,372,512,62
483,apple,443,0,447,1,372,512,40
484,apple,163,0,163,1,68,372,206
485,apple,156,0,156,1,68,372,214
486,apple,54,0,54,1,0,372,317
487,apple,363,0,363,1,138,512,9
488,apple,263,0,263,1,138,512,225
489,apple,427,0,427,1,373,512,62
490,apple,470,0,470,1,373,512,20
491,apple,308,0,308,1,138,512,183
492,apple,150,0,150,1,0,512,342
493,apple,64,0,64,1,0,512,429
494,apple,457,0,457,1,376,512,37
495,apple,105,0,105,1,0,512,390
496,apple,72,0,72,1,0,512,424
497,apple,279,0,279,1,141,512,218
498,apple,466,0,466,1,379,512,32
499,apple,369,0,369,1,141,512,130
500,apple,16,0,16,1,0,512,484
501,apple,399,0,399,1,381,512,102
502,apple,161,0,161,1,0,512,341
503,apple,420,0,420,1,382,512,83
504,apple,462,0,462,1,382,512,42
505,apple,319,0,319,1,142,512,186
506,apple,411,0,411,1,383,512,95
507,apple,344,0,344,1,142,512,163
508,apple,464,0,464,1,384,512,44
509,apple,283,0,283,1,142,512,226
510,apple,430,0,430,1,385,512,80
511,apple,483,0,483,1,385,512,28
